year,n_households,consumption_ff,consumption_lce,consumption_slce,consumption_total,lce_share_percent,action_1_count,action_2_count,action_3_count,action_total_count,action_1_percent,action_2_percent,action_3_percent,total_investment,total_conservation_savings_money,total_switching_benefit,total_energy_saved_kwh,total_emissions_avoided_kg_co2,emissions_avoided_per_capita,avg_awareness,high_guilt_count,high_guilt_percent,avg_motivation
2015,3468,5605320.3873669,4832795.8360899,198968.21557200002,10637084.4390288,47.30397770652007,875,1231,1574,3468,25.230680507497116,35.495963091118796,45.38638985005767,426641.25,305285.7447395229,114419.68355129757,3403634.97603535,4037917.519063925,1164.3360781614547,4.313096885813149,649,18.713956170703575,4.305537773933103
2016,3468,5605320.3873669,4832795.8360899,198968.21557200002,10637084.4390288,47.30397770652007,875,1231,1574,3468,25.230680507497116,35.495963091118796,45.38638985005767,426641.25,316363.64533500426,118571.6294000276,4891134.97603535,8075835.03812785,2328.6721563229094,4.355904019147077,668,19.261822376009228,4.357850826605151
2017,3468,5605320.3873669,4832795.8360899,198968.21557200002,10637084.4390288,47.30397770652007,875,1231,1574,3468,25.230680507497116,35.495963091118796,45.38638985005767,426641.25,327441.54401435057,122723.57453059906,6378634.97603535,12113752.557191774,3493.008234484364,4.396089041180035,683,19.69434832756632,4.409442522106882
2018,3468,5605320.3873669,4832795.8360899,198968.21557200002,10637084.4390288,47.30397770652007,875,1231,1574,3468,25.230680507497116,35.495963091118796,45.38638985005767,426641.25,338519.44460983184,126875.52037932909,7866134.97603535,16151670.0762557,4657.344312645819,4.434330510324421,698,20.126874279123413,4.4601326412918105
2019,3468,5605320.3873669,4832795.8360899,198968.21557200002,10637084.4390288,47.30397770652007,875,1231,1574,3468,25.230680507497116,35.495963091118796,45.38638985005767,426641.25,349597.3452053131,131027.46622805898,9353634.976035351,20189587.595319625,5821.680390807273,4.469855185147624,712,20.530565167243367,4.509978854286813
2020,3468,5605320.3873669,4832795.8360899,198968.21557200002,10637084.4390288,47.30397770652007,875,1231,1574,3468,25.230680507497116,35.495963091118796,45.38638985005767,426641.25,350506.76394242427,131368.31215980943,10841134.976035351,24227505.114383552,6986.016468968729,4.503465194109832,729,21.02076124567474,4.559009034986544
2021,3468,5605320.3873669,4832795.8360899,198968.21557200002,10637084.4390288,47.30397770652007,875,1231,1574,3468,25.230680507497116,35.495963091118796,45.38638985005767,426641.25,351416.1845956703,131709.15880971844,12328634.976035351,28265422.633447476,8150.352547130184,4.535654398751209,751,21.65513264129181,4.6073591887735486
2022,3468,5605320.3873669,4832795.8360899,198968.21557200002,10637084.4390288,47.30397770652007,875,1231,1574,3468,25.230680507497116,35.495963091118796,45.38638985005767,426641.25,352325.60333278147,132050.00474146887,13816134.976035351,32303340.152511403,9314.68862529164,4.566123696592549,786,22.664359861591695,4.654606401384083
2023,3468,5605320.3873669,4832795.8360899,198968.21557200002,10637084.4390288,47.30397770652007,875,1231,1574,3468,25.230680507497116,35.495963091118796,45.38638985005767,426641.25,353235.02206989256,132390.85067321933,15303634.976035351,36341257.67157532,10479.024703453091,4.594770269778522,801,23.09688581314879,4.7009529988465975
2024,3468,5605320.3873669,4832795.8360899,198968.21557200002,10637084.4390288,47.30397770652007,875,1231,1574,3468,25.230680507497116,35.495963091118796,45.38638985005767,426641.25,354144.44272313867,132731.69732312832,16791134.97603535,40379175.19063925,11643.360781614547,4.62212479491816,828,23.875432525951556,4.74633506343714
2025,3468,5605320.3873669,4832795.8360899,198968.21557200002,10637084.4390288,47.30397770652007,875,1231,1574,3468,25.230680507497116,35.495963091118796,45.38638985005767,426641.25,361579.45073463576,135518.30389921568,18278634.97603535,44417092.70970318,12807.696859776002,4.648443060197801,847,24.42329873125721,4.790851595540176
2026,3468,5605320.3873669,4832795.8360899,198968.21557200002,10637084.4390288,47.30397770652007,875,1231,1574,3468,25.230680507497116,35.495963091118796,45.38638985005767,426641.25,369014.4606622678,138304.91119346145,19766134.97603535,48455010.2287671,13972.032937937456,4.673310465348864,868,25.02883506343714,4.834459823144944
2027,3468,5605320.3873669,4832795.8360899,198968.21557200002,10637084.4390288,47.30397770652007,875,1231,1574,3468,25.230680507497116,35.495963091118796,45.38638985005767,426641.25,376449.4686737649,141091.51776954863,21253634.97603535,52492927.747831024,15136.369016098912,4.696618969681333,892,25.720876585928487,4.877263071895424
2028,3468,5605320.3873669,4832795.8360899,198968.21557200002,10637084.4390288,47.30397770652007,875,1231,1574,3468,25.230680507497116,35.495963091118796,45.38638985005767,426641.25,383884.478601397,143878.12506379455,22741134.97603535,56530845.26689495,16300.705094260367,4.719123311700215,921,26.557093425605537,4.918825932333718
2029,3468,5605320.3873669,4832795.8360899,198968.21557200002,10637084.4390288,47.30397770652007,875,1231,1574,3468,25.230680507497116,35.495963091118796,45.38638985005767,426641.25,391319.4866128941,146664.73163988176,24228634.97603535,60568762.78595887,17465.04117242182,4.740747417758627,944,27.22029988465975,4.9594872164552095
2030,3468,5605320.3873669,4832795.8360899,198968.21557200002,10637084.4390288,47.30397770652007,875,1231,1574,3468,25.230680507497116,35.495963091118796,45.38638985005767,426641.25,395635.9906992986,148282.5373845807,25716134.97603535,64606680.3050228,18629.377250583275,4.761270855927137,977,28.17185697808535,4.999188292964245
